Destination;Origin;Product;Year;dist_km;Euros
LU;BE;1;2007;139.5719386;2966697
BE;LU;1;2007;139.5719386;6755030
LU;BE;2;2007;139.5719386;57078782
BE;LU;2;2007;139.5719386;7117406
LU;BE;3;2007;139.5719386;17379821
BE;LU;3;2007;139.5719386;2622254
LU;BE;4;2007;139.5719386;64867588
BE;LU;4;2007;139.5719386;10731757
LU;BE;5;2007;139.5719386;330702
BE;LU;5;2007;139.5719386;7706
LU;BE;6;2007;139.5719386;9405744
BE;LU;6;2007;139.5719386;43019
LU;BE;7;2007;139.5719386;36595989
BE;LU;7;2007;139.5719386;5162727
LU;BE;8;2007;139.5719386;36530285
BE;LU;8;2007;139.5719386;1241762
LU;BE;9;2007;139.5719386;13232087
BE;LU;9;2007;139.5719386;4790336
LU;BE;10;2007;139.5719386;5005067
BE;LU;10;2007;139.5719386;4588369
LU;BE;11;2007;139.5719386;2096688
BE;LU;11;2007;139.5719386;4972395
LU;BE;12;2007;139.5719386;1848554
BE;LU;12;2007;139.5719386;284769
LU;BE;13;2007;139.5719386;212552
BE;LU;13;2007;139.5719386;8566
LU;BE;14;2007;139.5719386;46270
BE;LU;14;2007;139.5719386;127029
LU;BE;15;2007;139.5719386;10415809
BE;LU;15;2007;139.5719386;378789
LU;BE;16;2007;139.5719386;36205364
BE;LU;16;2007;139.5719386;3029387
LU;BE;17;2007;139.5719386;16943227
BE;LU;17;2007;139.5719386;458885
LU;BE;18;2007;139.5719386;26900412
BE;LU;18;2007;139.5719386;1616752
LU;BE;19;2007;139.5719386;53696879
BE;LU;19;2007;139.5719386;7608911
LU;BE;20;2007;139.5719386;30665763
BE;LU;20;2007;139.5719386;574553
LU;BE;1;2008;139.5719386;1839012
BE;LU;1;2008;139.5719386;11983496
LU;BE;2;2008;139.5719386;58936854
BE;LU;2;2008;139.5719386;3842225
LU;BE;3;2008;139.5719386;16852002
BE;LU;3;2008;139.5719386;4363988
LU;BE;4;2008;139.5719386;70462886
BE;LU;4;2008;139.5719386;9052158
LU;BE;5;2008;139.5719386;407569
BE;LU;5;2008;139.5719386;242741
LU;BE;6;2008;139.5719386;10590393
BE;LU;6;2008;139.5719386;71495
LU;BE;7;2008;139.5719386;36179948
BE;LU;7;2008;139.5719386;4618137
LU;BE;8;2008;139.5719386;38774737
BE;LU;8;2008;139.5719386;1730520
LU;BE;9;2008;139.5719386;14109483
BE;LU;9;2008;139.5719386;6464946
LU;BE;10;2008;139.5719386;4537742
BE;LU;10;2008;139.5719386;3484801
LU;BE;11;2008;139.5719386;2458481
BE;LU;11;2008;139.5719386;9448044
LU;BE;12;2008;139.5719386;1887194
BE;LU;12;2008;139.5719386;308838
LU;BE;13;2008;139.5719386;477900
BE;LU;13;2008;139.5719386;12328
LU;BE;14;2008;139.5719386;53807
BE;LU;14;2008;139.5719386;173375
LU;BE;15;2008;139.5719386;11970121
BE;LU;15;2008;139.5719386;463331
LU;BE;16;2008;139.5719386;37863085
BE;LU;16;2008;139.5719386;2943018
LU;BE;17;2008;139.5719386;16688615
BE;LU;17;2008;139.5719386;391551
LU;BE;18;2008;139.5719386;29290260
BE;LU;18;2008;139.5719386;710334
LU;BE;19;2008;139.5719386;61671644
BE;LU;19;2008;139.5719386;9544099
LU;BE;20;2008;139.5719386;32489721
BE;LU;20;2008;139.5719386;1094712
LU;BE;1;2009;139.5719386;1288066
BE;LU;1;2009;139.5719386;13312044
LU;BE;2;2009;139.5719386;61196688
BE;LU;2;2009;139.5719386;3828928
LU;BE;3;2009;139.5719386;17774935
BE;LU;3;2009;139.5719386;4050339
LU;BE;4;2009;139.5719386;72584409
BE;LU;4;2009;139.5719386;10042534
LU;BE;5;2009;139.5719386;907668
BE;LU;5;2009;139.5719386;221493
LU;BE;6;2009;139.5719386;9060892
BE;LU;6;2009;139.5719386;78785
LU;BE;7;2009;139.5719386;36149657
BE;LU;7;2009;139.5719386;3129566
LU;BE;8;2009;139.5719386;35908034
BE;LU;8;2009;139.5719386;2016468
LU;BE;9;2009;139.5719386;15122085
BE;LU;9;2009;139.5719386;6150632
LU;BE;10;2009;139.5719386;7207526
BE;LU;10;2009;139.5719386;3941831
LU;BE;11;2009;139.5719386;3271008
BE;LU;11;2009;139.5719386;7260267
LU;BE;12;2009;139.5719386;1730926
BE;LU;12;2009;139.5719386;452203
LU;BE;13;2009;139.5719386;383174
BE;LU;13;2009;139.5719386;54512
LU;BE;14;2009;139.5719386;48679
BE;LU;14;2009;139.5719386;300386
LU;BE;15;2009;139.5719386;11308254
BE;LU;15;2009;139.5719386;441141
LU;BE;16;2009;139.5719386;39021524
BE;LU;16;2009;139.5719386;2245666
LU;BE;17;2009;139.5719386;16920840
BE;LU;17;2009;139.5719386;663365
LU;BE;18;2009;139.5719386;28956137
BE;LU;18;2009;139.5719386;712678
LU;BE;19;2009;139.5719386;62002000
BE;LU;19;2009;139.5719386;13972541
LU;BE;20;2009;139.5719386;32599361
BE;LU;20;2009;139.5719386;2746247
LU;BE;1;2010;139.5719386;1500180
BE;LU;1;2010;139.5719386;15240233
LU;BE;2;2010;139.5719386;62277524
BE;LU;2;2010;139.5719386;3686757
LU;BE;3;2010;139.5719386;19455008
BE;LU;3;2010;139.5719386;3784458
LU;BE;4;2010;139.5719386;73940937
BE;LU;4;2010;139.5719386;8931668
LU;BE;5;2010;139.5719386;1265288
BE;LU;5;2010;139.5719386;153696
LU;BE;6;2010;139.5719386;8864171
BE;LU;6;2010;139.5719386;120616
LU;BE;7;2010;139.5719386;39558388
BE;LU;7;2010;139.5719386;2496129
LU;BE;8;2010;139.5719386;38760588
BE;LU;8;2010;139.5719386;1520181
LU;BE;9;2010;139.5719386;16757215
BE;LU;9;2010;139.5719386;4553045
LU;BE;10;2010;139.5719386;4267268
BE;LU;10;2010;139.5719386;4948390
LU;BE;11;2010;139.5719386;3131385
BE;LU;11;2010;139.5719386;7130009
LU;BE;12;2010;139.5719386;1666712
BE;LU;12;2010;139.5719386;486143
LU;BE;13;2010;139.5719386;162272
BE;LU;13;2010;139.5719386;5176
LU;BE;14;2010;139.5719386;32764
BE;LU;14;2010;139.5719386;206557
LU;BE;15;2010;139.5719386;10984962
BE;LU;15;2010;139.5719386;1178751
LU;BE;16;2010;139.5719386;41463393
BE;LU;16;2010;139.5719386;3062794
LU;BE;17;2010;139.5719386;16570134
BE;LU;17;2010;139.5719386;540991
LU;BE;18;2010;139.5719386;32885046
BE;LU;18;2010;139.5719386;1089950
LU;BE;19;2010;139.5719386;62372109
BE;LU;19;2010;139.5719386;18296626
LU;BE;20;2010;139.5719386;29772354
BE;LU;20;2010;139.5719386;4634210
LU;BE;1;2011;139.5719386;2048621
BE;LU;1;2011;139.5719386;19937846
LU;BE;2;2011;139.5719386;67048839
BE;LU;2;2011;139.5719386;2957479
LU;BE;3;2011;139.5719386;20515536
BE;LU;3;2011;139.5719386;2872891
LU;BE;4;2011;139.5719386;77686095
BE;LU;4;2011;139.5719386;8989101
LU;BE;5;2011;139.5719386;914781
BE;LU;5;2011;139.5719386;338063
LU;BE;6;2011;139.5719386;9059690
BE;LU;6;2011;139.5719386;172383
LU;BE;7;2011;139.5719386;34386077
BE;LU;7;2011;139.5719386;2768584
LU;BE;8;2011;139.5719386;34168136
BE;LU;8;2011;139.5719386;2480174
LU;BE;9;2011;139.5719386;19617203
BE;LU;9;2011;139.5719386;6836247
LU;BE;10;2011;139.5719386;5642232
BE;LU;10;2011;139.5719386;3283538
LU;BE;11;2011;139.5719386;2515717
BE;LU;11;2011;139.5719386;9455626
LU;BE;12;2011;139.5719386;2016142
BE;LU;12;2011;139.5719386;556240
LU;BE;13;2011;139.5719386;155106
BE;LU;13;2011;139.5719386;25117
LU;BE;14;2011;139.5719386;31549
BE;LU;14;2011;139.5719386;55192
LU;BE;15;2011;139.5719386;11679466
BE;LU;15;2011;139.5719386;739985
LU;BE;16;2011;139.5719386;43884242
BE;LU;16;2011;139.5719386;3047792
LU;BE;17;2011;139.5719386;16925928
BE;LU;17;2011;139.5719386;417123
LU;BE;18;2011;139.5719386;33597082
BE;LU;18;2011;139.5719386;1030005
LU;BE;19;2011;139.5719386;65637973
BE;LU;19;2011;139.5719386;18633476
LU;BE;20;2011;139.5719386;31492694
BE;LU;20;2011;139.5719386;3400809
LU;BE;1;2012;139.5719386;1477416
BE;LU;1;2012;139.5719386;18699732
LU;BE;2;2012;139.5719386;67899145
BE;LU;2;2012;139.5719386;3304372
LU;BE;3;2012;139.5719386;22772968
BE;LU;3;2012;139.5719386;1933742
LU;BE;4;2012;139.5719386;70274687
BE;LU;4;2012;139.5719386;9962853
LU;BE;5;2012;139.5719386;648202
BE;LU;5;2012;139.5719386;765978
LU;BE;6;2012;139.5719386;8880234
BE;LU;6;2012;139.5719386;188310
LU;BE;7;2012;139.5719386;35589689
BE;LU;7;2012;139.5719386;2608480
LU;BE;8;2012;139.5719386;36728962
BE;LU;8;2012;139.5719386;3162382
LU;BE;9;2012;139.5719386;23030194
BE;LU;9;2012;139.5719386;6049869
LU;BE;10;2012;139.5719386;12135234
BE;LU;10;2012;139.5719386;4633988
LU;BE;11;2012;139.5719386;3292136
BE;LU;11;2012;139.5719386;12514855
LU;BE;12;2012;139.5719386;2191387
BE;LU;12;2012;139.5719386;417519
LU;BE;13;2012;139.5719386;137704
BE;LU;13;2012;139.5719386;38900
LU;BE;14;2012;139.5719386;254489
BE;LU;14;2012;139.5719386;796282
LU;BE;15;2012;139.5719386;12702032
BE;LU;15;2012;139.5719386;566508
LU;BE;16;2012;139.5719386;45354777
BE;LU;16;2012;139.5719386;2309673
LU;BE;17;2012;139.5719386;17565026
BE;LU;17;2012;139.5719386;729975
LU;BE;18;2012;139.5719386;35867554
BE;LU;18;2012;139.5719386;1099063
LU;BE;19;2012;139.5719386;65203268
BE;LU;19;2012;139.5719386;19373127
LU;BE;20;2012;139.5719386;32549754
BE;LU;20;2012;139.5719386;3705246
LU;BE;1;2013;139.5719386;1784794
BE;LU;1;2013;139.5719386;14565263
LU;BE;2;2013;139.5719386;70566315
BE;LU;2;2013;139.5719386;5467694
LU;BE;3;2013;139.5719386;24053652
BE;LU;3;2013;139.5719386;1595990
LU;BE;4;2013;139.5719386;71339771
BE;LU;4;2013;139.5719386;11146408
LU;BE;5;2013;139.5719386;569909
BE;LU;5;2013;139.5719386;520275
